id_pedido,cpf,valor_pedido,valor_frete,valor_desconto,cupom,endereco_entrega_logradouro,endereco_entrega_numero,endereco_entrega_bairro,endereco_entrega_cidade,endereco_entrega_estado,endereco_entrega_pais,status_pedido,data_pedido
77d97952-fc8f-4fec-b125-46f67e8076c4,231.193.824-43,1002.31,40.11,0.00,,Praça de Andrade,201,Palmares,Farias de Andrade,SP,Brasil,enviado,2024-07-28
9d80c533-a2cf-45bc-9cfb-6809ff2bb851,264.838.698-96,1366.23,81.86,0.00,,Lago Davi Lucas Nunes,62,Canaa,Pimenta,SC,Brasil,entregue,2025-06-14
97248139-d24f-4b2a-b66b-3cbec99ae783,610.708.347-34,1571.85,38.51,0.00,,Lago Rodrigues,7,Garças,Borges,CE,Brasil,cancelado,2024-04-22
d1e38341-9f3d-482c-a88f-cef0aeb3f2e2,820.877.883-83,722.67,32.00,57.02,CUPOM3A83AB3B,Distrito Ester Moraes,50,Olhos D'água,Silveira do Campo,PE,Brasil,entregue,2024-05-20
c4bba926-f6d4-4aa8-bc80-e509a74ff2f2,919.363.129-58,1472.18,77.86,0.00,,Núcleo de Rodrigues,5,Conjunto Novo Dom Bosco,Araújo,ES,Brasil,enviado,2024-09-25
cf23eb07-b3eb-4ebd-b72c-9525d17a39a4,485.115.504-98,1104.98,12.36,0.00,,Estação Renan Gonçalves,39,Santa Inês,Novaes de Guerra,RS,Brasil,pago,2025-05-10
54df0484-f489-4b2c-b1d2-101a615f34e9,238.185.755-65,1474.78,29.98,0.00,,Lago Câmara,18,Serra,Câmara,AP,Brasil,pendente,2025-09-12
b79e2832-49f2-403c-ae15-8310b39eb544,742.035.795-18,639.99,27.87,0.00,,Campo de Ribeiro,497,Campo Alegre,Borges Verde,RJ,Brasil,entregue,2025-04-06
5806cbd4-cb5f-4c60-ba8d-a50bd1c30153,383.888.774-57,135.64,29.04,0.00,,Estação Cirino,95,Prado,Pastor,RJ,Brasil,pendente,2025-04-12
691fef65-1a91-4bcc-a4d9-02b3e99e9f68,341.218.550-84,662.76,31.36,0.00,,Loteamento de Moreira,863,Santa Maria,da Cruz,PB,Brasil,pago,2024-02-07
af263fdd-c008-456a-9832-61854b24da62,393.113.790-73,698.70,90.47,0.00,,Feira Casa Grande,99,Sport Club,Pimenta,AM,Brasil,pago,2025-01-13
f2ba1a8e-45c7-4611-ae42-791ee5bd7553,247.177.657-01,1472.62,96.75,204.21,CUPOM587627CA,Rua Teixeira,256,Vista Do Sol,da Cunha,DF,Brasil,pago,2024-02-27
3350a1dd-9635-4652-a65c-e4db68016e05,542.105.487-87,1682.75,90.64,0.00,,Núcleo Sousa,3,Grotinha,Monteiro,ES,Brasil,pago,2024-03-31
f5cfe0d5-8916-4616-bea4-2a3ea191df9f,437.459.419-98,353.62,99.41,0.00,,Parque de Carvalho,94,Vila Da Amizade,Costela Alegre,RR,Brasil,entregue,2025-06-17
0253fc72-04f1-4998-b1be-1cc698e011a4,177.285.666-56,1830.64,49.35,0.00,,Lagoa Luiz Gustavo Duarte,40,Miramar,Costela de Monteiro,TO,Brasil,pago,2024-06-16
766a1367-5b6f-43c7-b110-1729f9f35b20,393.574.227-49,189.73,75.34,0.00,,Conjunto Martins,2,Atila De Paiva,Melo do Amparo,PI,Brasil,cancelado,2025-01-22
dfcc1e74-d000-4a07-9625-bd90298b0d3d,175.379.053-98,368.91,84.25,0.00,,Morro Kaique Pimenta,46,Tirol,Moura,PB,Brasil,entregue,2025-03-08
ba4115bc-cfc3-4f0d-9db0-b313af94e901,560.922.406-80,777.01,36.83,0.00,,Recanto Nascimento,31,São Sebastião,Monteiro da Mata,MG,Brasil,cancelado,2024-10-13
a477c81e-7d33-46c4-8e0d-d54bb9daa08a,476.022.834-79,1108.36,6.66,114.75,CUPOMF5FF288D,Rua Manuella Cirino,7,Grota,Nascimento,RO,Brasil,enviado,2024-12-10
61963aa1-fe4f-40d3-8a94-e6a9cd153059,035.943.825-44,1490.43,12.98,0.00,,Parque Eloá da Costa,85,Conjunto Lagoa,Pinto do Oeste,DF,Brasil,pendente,2025-03-03
74b6de23-e141-4f4f-bfec-e5bf80c534b0,300.438.224-37,354.01,64.31,0.00,,Praça da Rosa,370,Petropolis,Pastor Alegre,DF,Brasil,cancelado,2025-05-26
796295ed-d66d-419d-8628-4f6002e63c11,962.122.852-57,672.84,15.04,0.00,,Núcleo da Mata,42,Providencia,Silva de Marques,RS,Brasil,enviado,2025-04-14
c0bdb609-20d4-41a8-87db-e162b9ac5b99,981.456.942-04,1601.33,14.23,0.00,,Avenida Sousa,40,Vera Cruz,Gomes,AL,Brasil,pendente,2025-04-05
16e83609-4ca1-4901-b6ed-cb36fed7fb0f,464.403.509-10,551.75,85.84,0.00,,Lago de Correia,307,Coqueiros,Vasconcelos de Cassiano,RN,Brasil,cancelado,2024-04-21
ffa6f99f-890d-4a77-8d76-9b644d99ff42,119.259.051-48,1801.36,39.54,0.00,,Sítio de Oliveira,8,Vila Nova Cachoeirinha 2ª Seção,Câmara,SP,Brasil,pendente,2025-01-05
aa033207-cc08-4842-8346-ec06622a8284,807.667.974-97,469.24,59.09,0.00,,Feira de Vargas,1,Vila São Paulo,Oliveira do Oeste,GO,Brasil,cancelado,2023-12-27
fc1150d0-8d07-48da-97de-6caba32fea97,611.596.734-90,717.74,83.14,0.00,,Lagoa de Aparecida,35,Dom Silverio,Fernandes Alegre,GO,Brasil,pago,2025-07-10
4dff30db-fe89-4553-984d-6119e47a488a,143.144.863-08,1360.18,23.23,0.00,,Viela Almeida,18,Vila Das Oliveiras,Câmara do Amparo,PB,Brasil,entregue,2025-04-18
5385ff7f-60f8-40d8-8296-61e26a0215c9,280.258.092-49,1869.04,86.34,0.00,,Rodovia Viana,61,Cenaculo,Peixoto de Goiás,SC,Brasil,enviado,2024-04-09
0f55888c-102d-497e-adad-a1dc78b0227c,569.818.522-65,332.72,38.62,0.00,,Favela Alexia Rodrigues,3,Conjunto Paulo Vi,Santos,ES,Brasil,enviado,2024-11-20
89548f96-e21c-46b0-8874-d734172dc500,536.324.910-55,159.42,56.10,0.00,,Estrada de Alves,59,Canaa,Gonçalves de Castro,PE,Brasil,entregue,2025-04-17
e11812c1-3ccb-40a2-a68e-5c1bf7f2b596,823.682.927-57,1754.20,59.54,0.00,,Colônia Giovanna Ramos,13,Vila Pinho,Montenegro,SC,Brasil,cancelado,2023-09-28
e9882293-6808-4039-b814-e102f2bc11f0,547.967.394-93,1318.37,37.28,194.03,CUPOME648C115,Via da Conceição,58,Nossa Senhora Da Aparecida,Silva dos Dourados,RJ,Brasil,cancelado,2025-05-10
d394a9f6-81ce-43f3-b79b-1561373d26f6,927.786.349-47,1784.32,32.91,0.00,,Ladeira Teixeira,99,Granja De Freitas,Gomes do Norte,AL,Brasil,cancelado,2025-07-13
ba7edd91-d639-4e97-8290-88b1e18adb7f,128.669.374-17,1483.15,56.25,164.85,CUPOM7DC1B6AD,Rodovia de Montenegro,7,Estoril,Monteiro do Campo,PE,Brasil,cancelado,2023-10-25
a0a0683f-0cee-400f-b474-d76d86e50eb3,627.159.849-64,1915.97,14.16,0.00,,Vila da Luz,35,Pousada Santo Antonio,Moura,DF,Brasil,entregue,2025-01-18
bd0ce717-ba07-4fda-865a-b9fb785ffba8,587.805.493-32,1335.46,73.14,0.00,,Colônia Yan da Luz,8,Fazendinha,Silva do Campo,PI,Brasil,enviado,2025-06-21
94b698d3-7c18-4aec-a696-4223423c93f0,887.362.538-15,173.08,66.02,0.00,,Trecho Heloísa Pimenta,25,Santa Margarida,Vasconcelos da Mata,PE,Brasil,cancelado,2024-01-10
c4fe7769-8e97-450d-9994-5a14fe3ec2af,454.497.317-78,141.64,56.25,0.00,,Passarela Azevedo,15,Manacas,Fogaça,PE,Brasil,cancelado,2024-12-11
3a53fb50-4c34-451a-82a4-c763b92ac37e,193.651.766-11,1653.37,62.95,0.00,,Alameda Evelyn Sá,390,Ouro Preto,Montenegro Verde,RN,Brasil,pago,2023-10-16
5d382a76-4207-46fa-82a5-13d48350c2b3,670.559.506-91,1190.71,70.69,0.00,,Via de da Paz,53,Cachoeirinha,Moreira,PB,Brasil,entregue,2024-09-29
d6dff786-c6a8-4dfe-bf5f-af12d9eb23f5,765.800.183-24,488.04,62.32,97.43,CUPOM860F9AE0,Fazenda Silveira,58,Andiroba,Abreu,PE,Brasil,cancelado,2025-06-03
68f62b2c-1c3d-42f6-ac75-83100b9f1d19,118.611.332-22,679.38,91.34,93.26,CUPOM8A1C9907,Área Luiz Henrique Souza,79,Pilar,Almeida,BA,Brasil,cancelado,2025-05-27
59cf4c70-80e3-4ac9-8533-d9ff9c20992b,791.548.156-84,1525.70,42.81,0.00,,Rua Antônio Rios,41,Vila São João Batista,Carvalho das Pedras,DF,Brasil,pendente,2024-04-25
c4eb0969-f8db-4bf8-9358-2c6e216d91dd,430.709.333-54,1782.78,75.95,0.00,,Esplanada Matteo Gomes,72,Jardim Atlântico,Pinto da Mata,PR,Brasil,enviado,2024-09-01
61598d6e-ae3a-4663-a0f1-7a677043fd53,590.135.190-71,1103.72,35.56,169.95,CUPOM2D2FE2D2,Favela Ísis das Neves,25,Biquinhas,Cirino,RJ,Brasil,pago,2024-10-17
3e96c982-8fef-42f4-a341-caa127a1e0ee,897.734.172-90,1544.29,60.75,0.00,,Setor Lara Brito,46,Jardim Alvorada,Vasconcelos das Flores,DF,Brasil,pendente,2024-06-01
aadebd8f-ab52-409a-810f-ce798e48e58d,028.145.242-72,320.09,14.11,0.00,,Viela da Luz,98,Marieta 3ª Seção,Macedo de Fernandes,PA,Brasil,enviado,2024-09-27
7db110c5-ebbe-48fb-8572-869a248817b1,013.204.385-05,1020.42,99.75,0.00,,Chácara Peixoto,18,Lourdes,Fonseca,MG,Brasil,enviado,2024-12-19
c8ba30b2-df2f-42a5-b1e5-c31fadafec79,626.049.717-59,1860.78,41.94,0.00,,Praia de Monteiro,95,Senhor Dos Passos,Martins do Galho,PE,Brasil,entregue,2025-05-13
f94abc84-e8e5-46b0-9890-022297cd67a9,540.230.705-60,1147.84,54.56,0.00,,Rua Heloísa Guerra,9,Monte São José,Souza,PB,Brasil,cancelado,2025-03-04
9b814bc2-f83c-492c-83af-d1d8613f2bbe,708.560.764-35,601.00,32.83,98.88,CUPOME861CCDD,Trecho Costa,26,Cidade Jardim Taquaril,da Costa do Sul,PR,Brasil,entregue,2024-05-05
d7c1b454-da5b-4587-89c1-1a9186945849,825.037.760-90,898.52,14.91,48.14,CUPOM1D303040,Alameda de Correia,7,Bernadete,Cardoso das Flores,PR,Brasil,cancelado,2025-07-15
ba05d389-daf1-46c2-9930-4a832f73c4e1,458.836.014-10,142.05,22.88,0.00,,Estação Andrade,28,Santa Rita De Cássia,da Cruz,PI,Brasil,cancelado,2025-01-09
de02d695-23ed-4d76-bf12-e42ef091da06,288.329.652-14,1442.37,59.26,0.00,,Passarela Ana Julia Rezende,55,Monte São José,Souza,DF,Brasil,cancelado,2024-10-17
eb0dbbec-cdbb-4596-bcc3-120ebe0fcdc4,169.310.471-15,820.07,24.20,0.00,,Trevo Daniel Barbosa,76,Vista Do Sol,da Luz do Norte,RS,Brasil,pendente,2025-07-19
51d2a1b2-510f-4cfc-86c8-2701e6ca57f8,634.058.098-17,1214.15,77.85,230.74,CUPOMBFAC270E,Alameda de Câmara,40,Vila De Sá,das Neves de Lima,GO,Brasil,pago,2024-06-19
bef6acac-2d60-41d2-9803-22fc11aeaf78,546.447.374-05,704.98,7.40,0.00,,Trevo de da Luz,64,Vila Paris,da Cunha,MS,Brasil,entregue,2024-05-31
fdeb7e6c-43b8-4680-b5b7-f6799c4050a1,106.214.139-82,1688.26,94.48,0.00,,Feira Raul Aragão,838,Indaiá,Correia de Azevedo,PE,Brasil,entregue,2025-02-13
15dbe979-f815-419d-9077-6bb23aa1761a,414.703.818-30,149.23,57.41,0.00,,Distrito de Melo,9,Vila Formosa,Ribeiro do Sul,GO,Brasil,pago,2024-02-01
d9eeef46-b278-488e-8c99-43e3ea260c8d,373.969.145-63,1300.41,81.08,0.00,,Travessa Nogueira,61,Parque São José,Câmara da Prata,AM,Brasil,pago,2025-04-13
5363521b-1830-4c55-bbf8-7814541a4c8d,150.504.875-62,1344.54,76.79,156.96,CUPOM172B38EC,Área Moura,2,Canadá,Novaes do Sul,PA,Brasil,pago,2025-01-10
d1853ba8-00a6-465d-b1f6-e384e02d4ab8,875.639.379-23,1986.15,68.55,0.00,,Loteamento Porto,417,São José,Silva,TO,Brasil,enviado,2025-03-27
6a7cc5ac-23ff-4fbe-a865-163e01fcc171,859.721.853-42,599.20,68.82,70.39,CUPOM5744E35C,Fazenda de Campos,9,Nova Esperança,Borges,SP,Brasil,enviado,2024-01-20
6277fb4b-23ee-4946-892e-dd08695ab96b,202.197.277-36,978.29,62.52,193.89,CUPOM0F01E42B,Núcleo Rocha,3,Mariano De Abreu,Moura de Fogaça,AP,Brasil,pago,2025-02-14
561a0887-a753-40f1-8b45-35109f2cc5b4,347.718.149-47,539.35,27.87,0.00,,Ladeira Siqueira,55,Alto Caiçaras,Duarte,AC,Brasil,pendente,2024-05-11
7b426091-fce0-458a-82f2-e6695dbe71a0,601.271.670-23,205.91,73.03,0.00,,Viela de Ramos,2,Vila Piratininga,Abreu dos Dourados,GO,Brasil,pendente,2025-07-15
2a5c89f0-507d-445c-b800-59b11b19ef09,845.740.604-84,670.88,91.88,0.00,,Estrada Ian Silveira,50,Nossa Senhora Aparecida,Cardoso,AP,Brasil,cancelado,2023-09-27
166a4b2c-2c85-4a5c-8b0c-4503b1caf846,252.462.916-78,1915.87,37.17,0.00,,Trevo Heloísa Rezende,3,Mineirão,Moraes,DF,Brasil,enviado,2024-04-23
ef7e9e8c-caca-466a-a736-2246bfc2450e,394.147.414-42,1824.78,65.22,0.00,,Distrito de Almeida,4,Braúnas,Montenegro,TO,Brasil,entregue,2024-11-16
ac8cfa6a-d8b0-41aa-86d5-f6a8c290fcff,818.570.438-50,631.45,33.13,0.00,,Estrada de Albuquerque,4,Novo Glória,Mendonça do Oeste,AL,Brasil,pendente,2024-01-20
5ba92f2c-a8bd-4947-a316-487c83a45bba,758.289.034-86,605.29,35.67,0.00,,Jardim Stephany Sá,4,Túnel De Ibirité,Vieira,GO,Brasil,pendente,2025-02-14
46059acc-2353-4551-8a3c-cc18de1b1d7c,474.574.753-33,106.19,66.88,0.00,,Praça de Abreu,5,Boa Viagem,Rios,RN,Brasil,cancelado,2025-08-01
c18b3abb-5762-4619-9be9-c12c744e32fb,448.366.369-17,1785.90,25.60,0.00,,Colônia Otávio Garcia,32,Camargos,da Costa de Minas,RO,Brasil,pendente,2025-04-09
27d0b175-824a-4927-9dde-f51a83a73154,915.608.192-14,1600.26,94.09,0.00,,Largo Marcela Pinto,3,Lindéia,Alves de Silveira,PA,Brasil,pendente,2024-10-04
9e10fa2c-53c4-4f9d-be59-55786622a89d,798.077.851-23,1863.81,41.23,0.00,,Sítio Luigi Machado,94,Vila Do Pombal,Sampaio do Oeste,PA,Brasil,cancelado,2025-06-07
3947d1f1-9336-4572-93fc-c9408671edfb,066.116.129-64,639.00,93.36,0.00,,Favela Maria Vitória Pires,17,Anchieta,da Rosa Grande,DF,Brasil,pago,2025-06-13
da80f197-5257-47ec-8436-8acb998368de,029.798.014-43,766.23,56.74,0.00,,Viaduto de Melo,38,Nova Suíça,Pimenta do Norte,BA,Brasil,enviado,2023-10-02
0a13563d-4689-4bed-b3b4-06e6b39e6bca,787.605.857-21,389.23,49.41,0.00,,Trecho Ester Santos,37,Nova Cintra,Silva,TO,Brasil,enviado,2024-08-07
3901ee53-80d1-45eb-9bb1-66d90237b475,696.862.915-62,1492.44,79.83,0.00,,Vale Cecília Ribeiro,9,Dom Joaquim,Cirino,RN,Brasil,entregue,2024-02-26
ef0d6354-b138-4174-9161-7bdde6aeaa2c,210.954.883-17,1791.71,80.99,0.00,,Largo de Pimenta,47,João Pinheiro,Moreira das Pedras,RO,Brasil,entregue,2024-09-13
3c5918c6-96b5-4b15-a2b3-b5681cc7a4c7,112.946.122-95,642.38,92.36,0.00,,Avenida de Viana,46,Heliopolis,da Costa de da Rosa,RR,Brasil,cancelado,2024-05-03
d48e8e64-23e1-44a5-ab5d-24398bf78253,280.258.092-49,1441.96,95.06,0.00,,Vale Andrade,87,Savassi,Rezende de Gomes,AP,Brasil,pendente,2023-11-28
f06af5e0-af35-4203-9fcb-17248f825a62,598.762.492-61,1038.87,93.15,0.00,,Jardim Guerra,31,São João Batista,Rezende,RS,Brasil,pago,2025-06-25
832c9809-26f4-42e5-90c2-1020aca863be,192.457.296-25,1136.87,97.23,0.00,,Vereda Gabrielly Jesus,172,Vila Independencia 2ª Seção,Silveira Verde,PR,Brasil,pago,2025-09-02
6bec205f-1efc-4a6b-b640-7c4fcb021f7f,192.909.801-95,1586.77,60.63,237.84,CUPOM9008F8A7,Pátio José Pedro da Cunha,2,Vila Maria,Campos de Pimenta,RS,Brasil,pendente,2024-03-20
12917f44-0ed7-42e3-9ef4-38b55f25665f,893.217.926-54,1344.87,25.34,0.00,,Jardim de Moraes,947,Suzana,Rezende,GO,Brasil,pago,2025-09-17
6aa0da6f-e9f0-4be1-8813-465ecf2e8fad,489.145.275-74,1051.36,91.05,0.00,,Praça João Guilherme Leão,887,Cardoso,Cunha,MT,Brasil,pago,2025-08-17
ccae1804-477d-418e-9d7d-71862fbc50e2,677.020.104-10,1238.73,92.17,0.00,,Sítio Ian Oliveira,1,Vila Independencia 1ª Seção,Pacheco,RN,Brasil,enviado,2025-03-13
2b139f6b-c110-4860-a9ce-b55049967568,852.250.027-61,535.09,26.94,0.00,,Parque Brenda Marques,23,Conjunto Jardim Filadélfia,Gomes,PR,Brasil,cancelado,2024-01-01
ac8c8d08-44ee-4728-8a8d-70ac53550ee2,812.086.031-60,225.45,13.78,0.00,,Alameda Lunna Gonçalves,4,Vila Suzana Primeira Seção,Souza da Praia,PI,Brasil,cancelado,2024-11-29
21bde8e7-2779-4533-a1b6-d1c552fe0632,869.688.321-57,180.79,5.05,0.00,,Via Borges,57,Novo São Lucas,Castro do Amparo,PA,Brasil,entregue,2024-12-02
9942caf2-9e35-4744-b177-bc77d99236c1,313.424.395-72,726.51,39.96,0.00,,Rua Zoe Macedo,2,Vila Sesc,Pinto Grande,RN,Brasil,cancelado,2024-01-29
8289a370-bf36-4cf1-a2ef-d1ea402b4ab0,631.390.770-39,1997.36,36.36,346.96,CUPOMBF2CF6CF,Viela Fogaça,33,Cinquentenário,Gomes,PI,Brasil,entregue,2023-11-29
d78ac3a6-144a-4125-a7d2-2c21c2ae02f8,368.293.250-30,1139.21,82.37,0.00,,Residencial de Caldeira,1,Vila Copasa,Melo,TO,Brasil,enviado,2025-05-28
4c9eb8e7-0b78-4ff4-b25f-541177e55501,484.279.423-07,1711.71,71.02,0.00,,Travessa Nina Barros,19,Nova Granada,Garcia Verde,MT,Brasil,entregue,2023-12-21
f0b28235-b645-4d24-9906-dd14eec08c3b,895.501.276-98,698.58,64.57,0.00,,Residencial de Farias,17,Santa Lúcia,Costela de das Neves,AM,Brasil,pendente,2024-01-07
6c42018d-4c04-48ac-be5e-b31c9a2499c3,543.421.119-90,1667.63,49.04,0.00,,Parque de Mendonça,1,São Geraldo,Duarte,SP,Brasil,cancelado,2025-02-18
02d6b55d-0dc4-432e-883d-3de818c5472c,312.758.097-21,178.67,77.05,0.00,,Sítio de Câmara,73,Caetano Furquim,Mendes de Aparecida,RJ,Brasil,enviado,2024-01-13
d3d6c578-3494-4202-b98f-0c669983370c,208.867.999-62,1588.55,41.85,0.00,,Conjunto Lima,914,Mangabeiras,Sales,RO,Brasil,pago,2025-09-23
9eeb384c-d839-4d29-93ce-301f01c0cf4b,110.044.924-10,1788.23,43.57,306.55,CUPOM40999335,Condomínio Josué Oliveira,17,Andiroba,Mendes das Flores,MT,Brasil,pendente,2024-10-26
3c46e10f-bfe2-43fb-82c0-18efd4318dbd,874.139.993-24,1979.81,30.96,254.30,CUPOM7891DE67,Distrito da Rocha,77,Primeiro De Maio,Novaes,BA,Brasil,pago,2025-06-15
9f7a44d9-8230-4fb9-bef9-976a98919740,722.479.012-48,620.78,44.10,121.71,CUPOM44345166,Ladeira Juliana Casa Grande,32,Embaúbas,Santos,RR,Brasil,cancelado,2025-03-19
f2ca82d1-5b8f-443b-abd3-0c5b78d307d7,861.215.966-96,1003.38,9.65,0.00,,Loteamento Cardoso,23,Camponesa 1ª Seção,Lima da Praia,ES,Brasil,pendente,2025-06-08
748c47d2-e493-427a-a6f9-60d25fced13d,949.182.827-51,594.69,6.31,0.00,,Recanto Joaquim Fogaça,35,Vila Aeroporto Jaraguá,Vargas de Gonçalves,RO,Brasil,cancelado,2023-11-10
6083fb98-11fe-417b-a98f-41a08a332635,499.147.444-97,362.89,90.96,0.00,,Chácara Pedro Costela,3,Mirante,Albuquerque,SC,Brasil,pendente,2024-02-25
a872a4bb-8d10-4bb9-8e41-a52e84f42bda,354.060.788-36,172.79,15.18,0.00,,Trevo de Barbosa,40,Bonsucesso,da Luz de Caldeira,PB,Brasil,enviado,2025-02-11
23902e24-5e54-4bfd-be5e-febd897a9786,955.772.944-34,1628.93,68.50,0.00,,Quadra Vasconcelos,452,Vila Nova Cachoeirinha 2ª Seção,da Conceição do Oeste,SP,Brasil,cancelado,2023-11-16
110b11db-d7e8-4b66-87ef-20249de4bfb3,382.832.205-64,1608.04,22.38,0.00,,Condomínio Leão,84,Vila Minaslandia,Silveira do Campo,PA,Brasil,entregue,2025-08-14
8419f73e-effc-409f-8a0a-b7e313882e0f,413.089.822-25,1414.39,72.80,222.14,CUPOMB535AEDD,Fazenda Caleb Nunes,25,Alto Vera Cruz,Farias,ES,Brasil,cancelado,2024-03-07
61c2e000-e7bf-4443-873e-0b54847d1609,930.314.557-85,1041.41,89.02,0.00,,Viaduto de Sousa,48,Mangueiras,Martins,AC,Brasil,pago,2024-04-11
809a539d-e41c-4610-9e86-bebb52cd9d4d,403.208.279-82,1126.94,56.07,0.00,,Travessa de Nascimento,56,Vila Maria,Pimenta,DF,Brasil,enviado,2025-09-16
25ff16c1-ade8-4a40-b465-682dd03e39e4,824.502.213-23,1542.68,78.65,0.00,,Sítio Correia,46,Vila Santa Rosa,Pastor,AM,Brasil,pendente,2025-04-30
4fa27eb3-8db8-4ca7-9611-318f6a953109,550.115.720-52,542.99,89.57,0.00,,Aeroporto Mendes,12,Vila Suzana Primeira Seção,Marques,ES,Brasil,cancelado,2024-01-19
0d3e9651-e6bd-40f5-95bb-41070c0133ef,396.690.196-98,1239.69,69.00,0.00,,Praça de da Mata,5,Olhos D'água,Souza,MT,Brasil,enviado,2024-01-01
afe68607-0581-4ca8-b465-911c2c228707,022.018.305-99,1537.95,18.55,0.00,,Passarela de Nogueira,86,Nossa Senhora Da Conceição,Correia dos Dourados,AL,Brasil,pago,2024-09-22
c9055c9a-427a-4a92-b27c-6c93ee34fee5,725.162.766-06,1616.41,22.27,0.00,,Fazenda de da Conceição,86,Novo Tupi,Barbosa de Cirino,SE,Brasil,pendente,2025-07-16
043416eb-e8a8-4036-903a-6fcecefc871d,483.238.619-50,1266.36,77.83,0.00,,Colônia de Pacheco,25,Gameleira,Albuquerque,PB,Brasil,cancelado,2024-12-06
04f7f84c-b7ee-4918-9cfe-9150a1bb67dd,733.113.125-05,1783.85,55.85,0.00,,Estrada Luigi das Neves,20,Santa Inês,Aragão Alegre,PB,Brasil,enviado,2024-11-01
dee72439-4af3-42c7-9ec8-aebff939834a,474.972.292-34,250.74,34.41,31.36,CUPOM3642C26D,Trecho Amanda da Luz,42,Parque São Pedro,Sales Grande,AL,Brasil,cancelado,2024-08-17
63df8e7d-aabc-49d2-8a00-c6666cff754b,478.432.818-87,1572.03,45.84,0.00,,Parque Juan Aparecida,59,Vista Alegre,Duarte,MS,Brasil,cancelado,2024-10-24
a32c5985-f60f-4b77-960e-e122800b03b7,132.217.446-61,1923.22,7.18,275.66,CUPOM8587F5D4,Viaduto Garcia,15,Nova Esperança,Barros das Pedras,SE,Brasil,cancelado,2025-04-26
2dec2b9b-2736-43d1-9b85-5de9ba90d799,772.920.434-06,1780.20,71.04,127.05,CUPOME907D75D,Colônia Dias,3,São Jorge 2ª Seção,Rodrigues de Brito,AM,Brasil,cancelado,2024-09-07
88dae61d-58d8-4a6d-a6db-19d60216da26,387.990.513-23,1152.57,11.35,0.00,,Chácara de Sá,22,Ribeiro De Abreu,Freitas das Pedras,PB,Brasil,enviado,2024-02-17
190d1b01-e685-489d-8334-26c7ea401689,365.375.680-62,514.05,68.62,0.00,,Morro de Moura,97,Conjunto Califórnia I,da Mata do Sul,AP,Brasil,pago,2024-08-24
2dfbc299-e367-4c8a-91f8-931296953e28,475.166.983-92,1377.45,48.09,0.00,,Largo Clara Sá,7,União,Alves da Prata,TO,Brasil,pendente,2025-02-14
