id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
69fbeffe-7e99-40c2-86fb-8544d448e5b7,Maria Alice Jesus,1935-08-07,123.149.089-43,86793-786,Sampaio,BA,Brasil,M,31 8351-1302,12314908943@exemplo.com.br,2024-04-18
6988dfb2-f806-4d3a-8570-82ce74bc085a,André Silva,1957-05-10,406.376.566-27,01766773,Castro,MS,Brasil,F,0800 049 4203,40637656627@exemplo.com.br,2025-03-05
b370efd3-bc52-4267-8d8f-5177321b18ff,Nina Souza,1969-08-26,852.987.165-37,69093571,Costa,MT,Brasil,M,+55 81 2961-1269,85298716537@exemplo.com.br,2023-10-23
9a88b498-dea7-4680-ab11-a69c82aace59,Maria Sophia Sousa,2005-04-08,394.263.562-74,15938151,Sousa da Prata,MT,Brasil,M,81 1973-5135,39426356274@exemplo.com.br,2024-02-22
51660956-b4eb-411b-8782-e3028018ffcd,Maria Laura Cavalcante,1965-03-18,934.642.490-02,52305359,Freitas do Galho,PB,Brasil,F,61 7909-0885,93464249002@exemplo.com.br,2023-10-16
b9ed5be9-fb80-47d1-bb84-1d8b7958ab3e,Yasmin Ferreira,1948-02-21,492.122.263-37,74663300,Pinto de Alves,PE,Brasil,M,+55 (021) 5165 0375,49212226337@exemplo.com.br,2024-04-16
f46efba1-e2ee-416c-ab6d-c3feed39db8e,Daniela Marques,1950-09-30,907.776.544-23,79067-595,Duarte,CE,Brasil,F,0500 378 7720,90777654423@exemplo.com.br,2024-09-09
10949270-b3b8-438f-8367-0fb3f68bf712,Bárbara Jesus,1936-12-25,325.627.264-80,90706715,Rios do Galho,RO,Brasil,F,31 5137-8019,32562726480@exemplo.com.br,2025-01-30
0994caff-2993-4e92-9823-01ad7571e535,Diego Cassiano,1950-12-13,511.210.057-02,21445-612,Lopes,PR,Brasil,M,21 5765-1341,51121005702@exemplo.com.br,2024-09-09
673a4563-ab7a-4d78-969e-4f2b13f305b2,Dr. Samuel Moura,1935-01-21,208.784.566-86,81347-310,Aparecida da Mata,BA,Brasil,F,0900-784-9922,20878456686@exemplo.com.br,2023-12-21
c684d7cb-7619-4ec1-adc6-8a86d5e42e0d,Luiz Miguel Martins,1995-10-04,059.444.099-58,40913-517,Costela,MT,Brasil,M,(084) 7908-2287,05944409958@exemplo.com.br,2025-02-24
9a6313a4-5134-4912-8d9f-6a44857a120d,Maria Ramos,1945-11-22,377.006.630-20,37210121,Lopes,MG,Brasil,F,0300 750 8438,37700663020@exemplo.com.br,2025-03-08
2d72cb5e-85c4-4788-94b7-7004a8834c10,Sra. Fernanda da Luz,1998-12-16,325.760.334-41,28412388,Camargo do Campo,RJ,Brasil,M,41 2736-8763,32576033441@exemplo.com.br,2025-07-16
9462a592-83b3-42b9-8a5d-55ce511ac288,Sr. Alexandre Mendes,1959-02-18,577.252.763-67,84582094,Leão do Norte,PI,Brasil,F,81 4871-5175,57725276367@exemplo.com.br,2024-04-30
32a94016-c84c-4e30-abbe-8461af6848b0,Dr. Augusto Pereira,1947-10-02,451.435.166-19,86665348,Rocha Paulista,PA,Brasil,F,(031) 2571 9286,45143516619@exemplo.com.br,2025-04-24
0eacbf2f-2e89-49b2-8ad0-7248a653945b,Diego Rocha,1992-11-11,962.223.349-12,83786-490,Pastor,AM,Brasil,M,+55 (031) 6605 1591,96222334912@exemplo.com.br,2025-08-06
d4609052-0668-4ee3-89e2-e59c48e05dd1,Otto Cunha,1990-04-29,752.229.342-29,06053-872,Nascimento,MS,Brasil,M,+55 (011) 0963-0376,75222934229@exemplo.com.br,2024-06-29
c5d5f43f-e074-4e30-b118-12060f2fccf9,Sabrina Dias,1991-11-16,916.522.288-40,29530-690,Pastor dos Dourados,RN,Brasil,F,+55 (061) 3768-1482,91652228840@exemplo.com.br,2024-06-25
49c9b3d8-52f7-4137-b8a2-f348212ec70e,Thales Melo,1978-03-09,919.716.241-70,56730241,Almeida do Oeste,CE,Brasil,M,+55 (084) 4493 7063,91971624170@exemplo.com.br,2025-09-17
1202f347-c8ad-42e0-ad2e-21db2cc7b787,Isadora Rios,1991-07-03,153.672.497-31,10923-189,Camargo do Amparo,AM,Brasil,M,+55 (031) 4899 3446,15367249731@exemplo.com.br,2025-08-30
250a23e3-3c44-4e19-a450-270ee090dcdc,Lívia Machado,2004-06-29,993.531.964-53,32379530,Rezende,PE,Brasil,F,+55 (071) 3689 3114,99353196453@exemplo.com.br,2025-04-16
b951168b-3b50-45a7-9af7-7b32162d4a2b,Vitor Hugo Gonçalves,2006-09-18,496.186.123-66,93223275,Jesus do Galho,BA,Brasil,M,+55 (051) 7003-7620,49618612366@exemplo.com.br,2025-05-07
6a931ff8-87f4-45ca-9085-34480fec55aa,Léo Ribeiro,1980-05-14,565.862.000-91,50405556,Moreira,SP,Brasil,F,+55 51 4528 9038,56586200091@exemplo.com.br,2024-11-29
ce15e03f-8c1b-49b9-acd2-b01d52daa9a1,Isis Peixoto,1954-04-20,249.009.692-26,12218-503,da Luz Verde,SP,Brasil,F,0900-011-6045,24900969226@exemplo.com.br,2025-09-09
5087c9de-58fc-4719-9d1f-6d430be5216e,Marcela Mendonça,1982-07-09,949.397.418-41,82064358,Lima,BA,Brasil,F,+55 (051) 2633-4254,94939741841@exemplo.com.br,2023-11-21
f20d7114-a4b8-4f47-96ae-8f98ed8cc7dd,Ana Julia Casa Grande,1960-01-05,372.830.606-35,68587106,Andrade,RO,Brasil,M,84 8556-7054,37283060635@exemplo.com.br,2025-05-14
dcda29c1-c3b4-48fc-b643-294bfef69f2d,Ravi Lucca Silveira,1951-03-13,249.109.358-77,52111982,Correia Paulista,PB,Brasil,M,(071) 8296-6797,24910935877@exemplo.com.br,2025-02-01
439732ae-260f-470e-b83c-ac3ab883e0ad,Benício Nogueira,1978-09-03,817.407.975-82,11839-667,Nunes,RO,Brasil,F,+55 84 7868 9391,81740797582@exemplo.com.br,2025-04-01
3936ef83-058d-4533-a6ca-d4c2447194ab,Rael da Mata,2002-04-02,857.036.307-28,55641936,Pimenta de Lopes,SC,Brasil,F,81 5973 9009,85703630728@exemplo.com.br,2025-08-16
b0a5e76e-9a18-4a00-a076-5089033de458,Théo Sá,2000-03-14,787.394.077-72,24693903,Nogueira,ES,Brasil,F,+55 (051) 4890-9633,78739407772@exemplo.com.br,2024-05-13
fe5690e2-e10f-43b6-bd81-b5f7ecee0c6a,Antony Cassiano,1971-03-25,164.425.581-08,42743-103,Carvalho,MG,Brasil,M,+55 (071) 8520-6956,16442558108@exemplo.com.br,2024-07-31
c8e26c8a-93fa-4302-9c43-b64be74fe2b4,Gael Macedo,2000-08-15,123.865.599-36,96582-485,Moreira da Praia,DF,Brasil,M,+55 (084) 3087 3887,12386559936@exemplo.com.br,2024-03-20
77d024b4-4c97-45b5-9319-43fb84e1a05b,Dra. Manuela Montenegro,2005-01-28,717.537.009-19,50251770,Novaes do Campo,AM,Brasil,F,(081) 2271 3022,71753700919@exemplo.com.br,2024-03-12
3d49f650-f7af-427f-b149-14abdc018ee8,Srta. Ana Barros,1971-03-28,503.148.768-13,95800-662,Abreu,RS,Brasil,F,0900 109 7388,50314876813@exemplo.com.br,2024-09-16
20b0853b-7a81-4744-9339-b3f7eecc2a12,Sr. Heitor Lopes,1990-02-13,193.677.718-82,46150-452,Pacheco,DF,Brasil,M,84 0218-1222,19367771882@exemplo.com.br,2024-10-04
10aebf48-e228-4245-8b60-4beaa1d940e2,Otto Pacheco,1998-02-10,566.066.127-65,69843958,Nunes,PB,Brasil,M,0300-602-9753,56606612765@exemplo.com.br,2025-07-10
59e26f98-b298-4e38-b6a8-1bea4a325520,Aylla Castro,1987-09-01,062.246.807-21,35053634,Souza,RO,Brasil,M,0500-097-3133,06224680721@exemplo.com.br,2024-03-02
328e0cf0-5532-450a-8d97-bdd45dd38c72,Srta. Ana Liz Guerra,1994-02-07,214.243.738-61,55893-035,Sousa de Cunha,PI,Brasil,M,+55 (031) 1813-0155,21424373861@exemplo.com.br,2024-08-19
dd0e6b95-e39c-4388-b561-b845852209f9,Ana Cecília Abreu,1947-01-10,434.846.980-13,36311178,da Rosa,BA,Brasil,M,(021) 6192-5981,43484698013@exemplo.com.br,2025-08-05
a276b124-a289-4635-b00a-6c5aad3e43aa,Luna Lopes,1966-09-23,047.272.730-32,71283706,Andrade do Amparo,PB,Brasil,M,+55 71 0181-3301,04727273032@exemplo.com.br,2024-11-13
29600be9-a48d-4ba4-b252-28349bb4f851,Bella Mendes,2005-07-25,301.831.622-70,80220786,Monteiro,MA,Brasil,F,(084) 7397-2002,30183162270@exemplo.com.br,2025-05-19
e59076ec-cd56-4443-8baf-a414584f3030,Ana Júlia Casa Grande,1996-04-01,304.286.098-34,33297-546,Câmara de Goiás,BA,Brasil,F,+55 11 4310 3785,30428609834@exemplo.com.br,2025-02-04
2069b02c-7800-4fbb-b111-6de70384fd19,Daniel Aparecida,1934-10-03,639.230.201-66,26069-144,Vargas de Minas,RN,Brasil,M,81 9734-1645,63923020166@exemplo.com.br,2024-03-15
82e85c93-32dd-42bb-af57-146fbe55b00d,Nathan Duarte,1953-10-07,562.323.696-00,92611-409,Cassiano,AL,Brasil,M,(051) 3458-1794,56232369600@exemplo.com.br,2024-12-26
f4e467a2-ede6-49a6-adb7-7d664b293f7e,Gael Henrique Costela,1976-11-17,713.844.105-25,91607-024,Dias,RR,Brasil,F,+55 (084) 2429 4173,71384410525@exemplo.com.br,2024-04-26
86c07ad9-ef73-403e-b220-e3d676eaf8cb,Diogo Leão,1979-11-02,656.480.035-25,92155722,Souza do Sul,RJ,Brasil,F,+55 61 6573 0703,65648003525@exemplo.com.br,2024-11-04
b40859fe-6575-4215-a41e-fa7c00cdbd59,Hadassa Vasconcelos,2003-04-28,814.124.891-78,87330-051,Nascimento,PA,Brasil,M,+55 (081) 6644 5392,81412489178@exemplo.com.br,2025-07-14
7360d9a0-7595-4cda-b460-02c27a68969a,Ravi Gonçalves,1986-05-10,716.950.138-29,68093317,Oliveira Paulista,AL,Brasil,F,(061) 7290 9367,71695013829@exemplo.com.br,2025-04-09
647b086d-325d-45d4-bf42-6002e91d85f1,Srta. Sophie Borges,1946-05-26,338.331.838-68,53121336,Porto de Goiás,AM,Brasil,M,(021) 0864 2577,33833183868@exemplo.com.br,2024-04-29
27a0be01-0297-40bd-ab42-f2d4f53cbac8,Hellena Teixeira,1970-09-02,226.268.136-20,36651185,Mendonça da Praia,RO,Brasil,F,+55 (081) 0692-0177,22626813620@exemplo.com.br,2024-12-22
d9fe8833-745e-47d6-9f1c-ba75755fc200,Cecília Caldeira,1946-10-21,707.211.113-56,63709232,da Costa Grande,PE,Brasil,F,+55 81 5574-4072,70721111356@exemplo.com.br,2025-07-10
bcd00fdf-9270-4105-9ac2-331bead397d3,Rodrigo Cavalcanti,1978-04-08,402.025.325-05,71777-436,Ferreira do Amparo,MG,Brasil,M,(011) 9326 0362,40202532505@exemplo.com.br,2024-11-27
5b5ffeed-29b5-46d8-9f6e-563f367f5964,Diogo Azevedo,1968-01-23,259.466.690-16,73105516,Rodrigues,MA,Brasil,M,0800-280-0193,25946669016@exemplo.com.br,2024-05-19
064fbd71-890a-44b7-abf7-0a4440f1d56c,Ana Aragão,1936-02-20,161.843.682-90,15904-221,Correia de Cavalcante,SE,Brasil,F,+55 (081) 3822 6294,16184368290@exemplo.com.br,2025-02-10
2141aea7-b478-45e2-a635-299771287a12,Brayan Correia,1935-11-05,640.964.741-45,47710-985,Campos,AC,Brasil,F,11 3628-5312,64096474145@exemplo.com.br,2025-08-08
3cf71a87-4668-4212-bfae-83eb6ffef4a5,Juliana Pastor,1975-02-21,102.238.114-42,18992368,Mendes Verde,DF,Brasil,M,+55 51 3669 4129,10223811442@exemplo.com.br,2024-01-20
27744e2c-e6fe-4c61-83cd-30471ff0d714,Rebeca Vieira,2004-03-15,182.387.420-65,97451918,Machado,PE,Brasil,M,(061) 9029-6587,18238742065@exemplo.com.br,2023-10-23
47749844-c7d0-4f4b-9fc1-f59b48a70f2f,Pedro Lucas Mendes,1987-11-08,866.671.513-81,27614066,Porto de Rocha,RJ,Brasil,F,(041) 5863 8230,86667151381@exemplo.com.br,2024-09-27
2b811581-2b0f-4d9e-8bda-7257d77813a1,Juan Jesus,1946-11-29,767.577.139-10,20766-982,Nogueira Alegre,SC,Brasil,F,+55 41 0377-4231,76757713910@exemplo.com.br,2023-10-10
2df2c66d-3afd-4014-975f-908791de6f9e,Yasmin Rezende,1971-10-25,792.482.703-82,64620-452,Vargas,SC,Brasil,F,0900-103-8382,79248270382@exemplo.com.br,2025-08-18
ac4e40c1-026b-4bc1-8b46-82ca09360f50,Bernardo Sampaio,2001-04-08,564.382.415-24,71401-167,Sá do Oeste,PA,Brasil,F,81 7495-8028,56438241524@exemplo.com.br,2025-04-27
f99af6c7-20f7-428d-a2f8-5f85ef13e588,Laís Porto,1956-11-25,198.895.245-69,52756-475,Dias,TO,Brasil,F,+55 21 2416-7850,19889524569@exemplo.com.br,2025-07-20
8139632d-b875-4619-ad9d-006915f7b1ac,Srta. Luana Porto,1972-04-11,440.953.202-12,41895-327,da Cruz do Amparo,MS,Brasil,F,+55 71 9326 3613,44095320212@exemplo.com.br,2025-05-17
a7bad5ea-c6ac-47cb-add1-0e0e2fea69e1,Arthur Gabriel Pastor,1947-10-04,435.337.921-56,82943254,Nogueira de Peixoto,AM,Brasil,M,+55 (051) 1021 8486,43533792156@exemplo.com.br,2023-12-13
8490d4cd-363d-4b36-a4d0-2b33aeb886d6,Dr. Gustavo Henrique Cavalcanti,1976-03-14,710.928.529-51,53471872,da Paz,ES,Brasil,F,+55 61 9565-0660,71092852951@exemplo.com.br,2025-02-10
e8daa96c-3e3b-4032-8985-375115a46c63,Ravi Pinto,1985-10-12,199.566.983-48,37775-833,Vargas,PA,Brasil,F,+55 71 4774 0405,19956698348@exemplo.com.br,2024-01-01
6f652f9a-bfe8-4c0f-94e1-7dc19f7829d1,Anthony Gabriel Barros,1940-12-18,551.616.609-62,28008788,Borges do Oeste,DF,Brasil,F,71 0853 3655,55161660962@exemplo.com.br,2024-11-14
e3608dfa-8844-40f3-9b25-f6969bf073f6,Raquel Teixeira,1959-03-26,458.910.854-67,58625-055,Gomes,SP,Brasil,M,(051) 0047 9063,45891085467@exemplo.com.br,2025-02-16
312e80a9-d05d-4383-8543-4d4753e05bf6,Maria Isis Novaes,1999-12-12,005.273.545-75,56400-909,Macedo,AC,Brasil,F,61 3665 6897,00527354575@exemplo.com.br,2023-10-31
ff35843d-2cf6-4ffc-84e2-e625fc7d9c23,José Pedro da Rocha,1944-08-05,932.407.848-35,96046078,Carvalho,PB,Brasil,F,+55 (051) 6762-1902,93240784835@exemplo.com.br,2023-09-29
3e6d08dd-b3c1-481f-a5f6-40fb3195f1c9,Matteo Pires,2006-11-21,566.901.001-75,87474-003,Macedo de Moura,RS,Brasil,M,21 8807-4409,56690100175@exemplo.com.br,2024-07-18
ed994bec-bcae-4400-8b6f-6d17775ab331,Dra. Gabrielly Gomes,2002-11-26,159.545.881-72,06400407,Peixoto,RR,Brasil,M,(011) 7122-9413,15954588172@exemplo.com.br,2025-08-09
f0b613ee-b26d-475d-b246-d05ec97395fd,Luiz Fernando Gomes,1946-10-18,435.814.695-34,65703348,das Neves de Rezende,MS,Brasil,F,+55 (071) 2990 8122,43581469534@exemplo.com.br,2024-02-09
f2f63634-56ab-4646-a7e1-b0f2f779aec1,Larissa Novaes,1985-09-26,817.837.313-71,76003030,Macedo do Galho,AM,Brasil,M,+55 51 4684 7572,81783731371@exemplo.com.br,2024-01-24
dd60e033-929b-477c-8ce6-7332c74cca15,Luigi Martins,2001-05-30,148.040.318-15,80632-331,Novaes,AM,Brasil,M,+55 (041) 8590-0041,14804031815@exemplo.com.br,2025-03-09
a58f5488-a3a1-41bb-b3b8-9de19b3db3b8,Theo da Paz,1936-01-20,534.833.829-49,97409-322,da Costa,PB,Brasil,F,+55 (021) 2771 6010,53483382949@exemplo.com.br,2024-12-03
9e984d43-8ecf-4a5f-ad71-181096df898d,Sr. Dante Macedo,1956-05-31,569.290.829-45,03011-446,Carvalho da Serra,PI,Brasil,F,0300-519-0738,56929082945@exemplo.com.br,2024-10-02
265b765e-661a-4edc-b064-24652b6b94af,Ana Sophia Freitas,1990-06-05,541.706.622-94,05958-005,Farias,PA,Brasil,F,+55 (081) 3420 2388,54170662294@exemplo.com.br,2023-10-01
34de27a1-85c1-49a7-80ab-33b56acca77f,Valentim Ribeiro,1973-06-07,437.542.655-54,73916-915,Silveira,RO,Brasil,M,+55 71 8669 3775,43754265554@exemplo.com.br,2024-10-02
52ae6427-2a73-45a5-89a9-17a2dfb78930,Allana Nogueira,2004-12-23,231.193.824-43,89714-720,Barros da Serra,MS,Brasil,M,0300-756-9003,23119382443@exemplo.com.br,2025-09-24
6fe69b7c-26fa-4213-b651-6b61bf93780e,Maria Luísa Teixeira,1995-12-06,433.205.116-61,41420-713,Fonseca de Vieira,SP,Brasil,F,+55 41 0909-7584,43320511661@exemplo.com.br,2024-01-11
4738c41f-fdfc-40ef-b489-b94df7ce6ecb,Kevin Pastor,1936-07-30,135.831.427-98,92440-551,Abreu de Novaes,PA,Brasil,F,84 4197-7390,13583142798@exemplo.com.br,2025-05-13
ab2f49f9-b7e0-40fd-a693-239c536ca9cd,Francisco Montenegro,1976-07-03,174.534.002-87,26644-101,Guerra,PA,Brasil,M,+55 81 6845-9518,17453400287@exemplo.com.br,2023-10-22
42da434d-602f-40ce-82af-6afd20d1904c,Agatha Siqueira,1994-01-30,685.824.721-94,19983737,da Rosa dos Dourados,RN,Brasil,M,(071) 1453-0598,68582472194@exemplo.com.br,2025-04-14
1c8a57d2-e19a-48b4-877a-9c54686cb14b,Thales da Rocha,1972-05-07,993.606.592-87,75272-853,da Mata,AC,Brasil,F,61 9981 8865,99360659287@exemplo.com.br,2025-04-18
42a8dd5b-2487-46dc-9aa2-c72d00e7bed0,Henrique Caldeira,1937-11-23,551.667.737-52,64987-027,Novaes,SC,Brasil,F,(011) 1361 0938,55166773752@exemplo.com.br,2024-09-27
ca328811-1de5-40eb-b360-d0738b06779a,Luana Pereira,1973-11-22,463.851.497-94,99168431,Lopes,TO,Brasil,M,41 2254 5309,46385149794@exemplo.com.br,2025-08-17
f4f5697d-5c4f-40a0-a131-67a4bd4fb928,Anna Liz Fogaça,1957-04-02,491.617.598-92,40006195,Brito,SE,Brasil,F,61 3382 6986,49161759892@exemplo.com.br,2025-07-08
1234e26e-c1a3-4a8f-9bf5-ccff415c1dee,Sr. Ravi Santos,1973-03-21,506.821.821-82,93017869,Sousa,PA,Brasil,M,0800 721 7922,50682182182@exemplo.com.br,2025-05-10
89b99937-b87c-447c-a18a-d80659c4cf3e,Lucca Montenegro,1950-12-31,020.737.038-67,27794033,Casa Grande das Flores,RS,Brasil,F,(011) 0261 9173,02073703867@exemplo.com.br,2024-08-18
4f671f30-5e02-48f0-9089-56c3123578b6,Sophie Cardoso,1945-08-03,051.196.765-66,27252133,da Rosa de Pires,RS,Brasil,F,+55 (021) 0045 7708,05119676566@exemplo.com.br,2024-03-19
12cac31e-3719-4471-90b6-a30f4c848e3b,Rafael da Conceição,2003-02-11,363.748.406-13,24029-874,Gomes do Norte,AP,Brasil,F,51 1252 1984,36374840613@exemplo.com.br,2025-02-08
732fcc0f-4ca8-42a3-bd7b-c018fdf743ba,Caleb da Mata,1990-08-30,630.709.987-38,86446-276,Melo,MG,Brasil,F,+55 (081) 6199 4607,63070998738@exemplo.com.br,2025-09-18
204c4d0e-61dd-4092-b0bb-73560deca524,Rafael Farias,1974-05-31,955.271.891-79,43306-802,Santos,RO,Brasil,M,+55 (061) 9479 4976,95527189179@exemplo.com.br,2025-08-02
30aaa79e-ae48-41ca-a6a4-4477047d3074,Gabriel Moraes,1946-08-06,604.530.337-59,23038-599,Jesus,SC,Brasil,F,31 0881-6218,60453033759@exemplo.com.br,2024-08-10
77c94edb-54ea-4ef1-9c94-ac2a5fe977eb,Dom Costela,1940-06-03,467.448.912-68,99812585,Melo,AP,Brasil,F,(011) 4079-6733,46744891268@exemplo.com.br,2023-12-31
0da33a11-408a-4515-962f-95716a4d0e14,Sra. Rebeca Aragão,1974-08-23,694.573.768-38,50718-048,Costa do Norte,TO,Brasil,F,81 3779-4949,69457376838@exemplo.com.br,2025-05-30
f49ec147-a668-4525-96e5-04fbd9d6ff06,Maria Júlia Guerra,1956-08-13,148.523.947-28,93376-757,Souza de Goiás,PR,Brasil,M,(041) 0860 1678,14852394728@exemplo.com.br,2023-10-30
d479c69f-552d-46c7-8231-cc0510afd5e7,Benicio Macedo,1950-11-24,050.482.394-19,03218204,Garcia de Cardoso,TO,Brasil,M,0500 664 0079,05048239419@exemplo.com.br,2024-09-02
064316d7-3f39-4ec0-8b8e-04c1ee32b8fe,Sr. Levi Brito,1978-05-03,516.588.481-78,84297-266,Abreu,AL,Brasil,F,(071) 9082-7656,51658848178@exemplo.com.br,2025-09-10
3d68b798-4084-44d0-9c7e-bd6916655d2e,Valentim Correia,2002-12-15,711.385.027-40,62390495,Borges do Galho,MA,Brasil,M,+55 51 1852 6313,71138502740@exemplo.com.br,2024-12-21
53181f16-7119-422c-9d74-8054982f5d4d,Isis Campos,1956-09-20,904.981.308-55,61316-050,Rocha de Rezende,DF,Brasil,F,+55 11 0391 0394,90498130855@exemplo.com.br,2024-10-26
